stage_code,stage,taxa_name,lw_reg_eqn,slope_b,int_a,lw_reg_length_type,lw_reg_weight_type,lw_reg_source_primary,lw_reg_doi,lw_reg_location,lw_reg_source_secondary,lw_reg_notes
Not_Staged,Not_Staged,Metridia,log10(DW_ug) = 3.0167 * log10(PL_um) - 7.97,3.0167,-7.97,PL,DW,Hirche_Mumm_1992,10.1016/S0198-0149(06)80017-8,Arctic Ocean,Swalethorp_et_al_2014,Eqn. for Metridia longa;CI-CVI;Swalethorp reports this eqn with C
Not_Staged,Not_Staged,Metridia lucens,log10(DW_ug) = 3.062 * log10(PL_um) - 8.073,3.062,-8.073,PL,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Hopcroft_et_al_2005;ICES_WGZE_Lutz-Postel;Swalethorp_et_al_2014;Hirche_Mumm_1992,same as adult;CI-CVI
Not_Staged,Not_Staged,Metridiidae,log10(DW_ug) = 3.0167 * log10(PL_um) - 7.97,3.0167,-7.97,PL,DW,Hirche_Mumm_1992,10.1016/S0198-0149(06)80017-8,Arctic Ocean,Swalethorp_et_al_2014,Eqn. for Metridia longa;CI-CVI;Swalethorp reports this eqn with C
Not_Staged,Not_Staged,Microcalanus,log10(C_ug) = 2.16 * log10(PL_um) - 6.025,2.16,-6.025,PL,C,Dvoretsky_Dvoretsky_2023,10.3390/d15010081,NA,Sabatini_Kiorboe_1994,Microcalanus pusillus
Not_Staged,Not_Staged,Mysida,log10(DW_ug) = 3.10 * log10(BL_um) - 9.04,3.1,-9.04,TL,DW,Ikeda_1992,10.1093/plankt/14.12.1767,southern Japan Sea,Nakamura_et_al_2017,Eqn. for Meterythrops microphtalma
Not_Staged,Not_Staged,Mysidopsis bigelowi,log10(C_ug) = 3.10 * log10(CL_um) - 9.468,3.1,-9.468,CL,C,Uye_1982,10.1007/BF02110286,Japan,Ara_et_al_2016,Eqn. for Mysids;ICES 6th Zooplankton Symposium
Not_Staged,Not_Staged,Nannocalanus minor,log10(WW_ug) = 3.103 * log10(PL_um) - 7.35,3.103,-7.35,PL,WW,Shmeleva_1965,"CIT:Shmeleva, A.A. 1965. Weight characteristics of the zooplankton of the Adriatic Sea. Bulletin de l'Institut Oceanographicque 65 (1351): 1-24.  ",Adriatic Sea,ICES_WGZE_COPEPEDIA,same as adult
Not_Staged,Not_Staged,Nematoscelis megalops,log10(DW_ug) = 2.822 * log10(TL_um) - 8.069,2.822,-8.069,TL,DW,Lindley_et_al_1999,10.1093/plankt/21.11.2053,North Atlantic ,NA,same as adult
Not_Staged,Not_Staged,Neocalanus,log10(C_ug) = 3.237 * log10(PL_um) - 9.794,3.237,-9.794,PL,C,Ueda_et_al_2008,"CIT:Ueda, A., T. Kobari, and D. K. Steinberg. 2008. Body length, weight and chemical composition of ontogenetically migrating copepods in the Western Subarctic Gyre of the North Pacific Ocean. Bull. Plankton Soc. Japan 55: 107–114.",North Pacific Ocean,Nakamura_et_al_2017,Eqn. for Neocalanus plumchurus;CI-CV
Not_Staged,Not_Staged,Neocalanus,log10(DW_ug) = 2.044 * log10(PL_um) - 4.881,2.044,-4.881,PL,DW,Ueda_et_al_2008,"CIT:Ueda, A., T. Kobari, and D. K. Steinberg. 2008. Body length, weight and chemical composition of ontogenetically migrating copepods in the Western Subarctic Gyre of the North Pacific Ocean. Bull. Plankton Soc. Japan 55: 107–114.",North Pacific Ocean,Nakamura_et_al_2017,Eqn. for Neocalanus plumchurus;CI-CV
