stage_code,stage,taxa_name,lw_reg_eqn,slope_b,int_a,lw_reg_length_type,lw_reg_weight_type,lw_reg_source_primary,lw_reg_doi,lw_reg_location,lw_reg_source_secondary,lw_reg_notes
Not_Staged,Not_Staged,Spinocalanidae,log10(C_ug) = 2.512 * log10(PL_um) - 6.76,2.512,-6.76,PL,C,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,North Pacific,NA,Eqn. for Copepods
Not_Staged,Not_Staged,Spinocalanus,log10(C_ug) = 2.512 * log10(PL_um) - 6.76,2.512,-6.76,PL,C,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,North Pacific,NA,Eqn. for Copepods
Not_Staged,Not_Staged,Spiratella,log10(C_ug) = 3.102 * log10(L_um) - 7.837,3.102,-7.837,SL,C,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,North Pacific,NA,Eqn. for Thecosomes
Not_Staged,Not_Staged,Stomatopoda,log10(C_ug) = 3.28 * log10(CL_um) - 8.4209,3.28,-8.4209,CL,C,Hirota_1986,NA,NA,Ara_Shimoto_2018,Eqn. for decapod larvae
Not_Staged,Not_Staged,Temora,log10(DW_ug) = 3.06 * log10(CL_um) - 7.6958,3.06,-7.6958,PL,DW,KleinBreteler_et_al_1982,10.1016/0077-7579(82)90030-8,North Sea and Cultured copepodites,KleinBreteler_Gonzalez_1988;Mauchline_et_al_1998,CI-CVI;Eqn. for Temora longicornis CL;Table 33 Page 232
Not_Staged,Not_Staged,Temora longicornis,log10(DW_ug) = 3.06 * log10(CL_um) - 7.6958,3.06,-7.6958,PL,DW,KleinBreteler_et_al_1982,10.1016/0077-7579(82)90030-8,North Sea and Cultured copepodites,KleinBreteler_Gonzalez_1988;Mauchline_et_al_1998,same as adult;CI-CVI;CL;Table 33 Page 232
Not_Staged,Not_Staged,Temora stylifera,log10(WW_ug) = 2.057 * log10(PL_um) - 4.042   ,2.057,-4.042,PL,WW,Shmeleva_1965,"CIT:Shmeleva, A.A. 1965. Weight characteristics of the zooplankton of the Adriatic Sea. Bulletin de l'Institut Oceanographicque 65 (1351): 1-24.  ",Adriatic Sea,ICES_WGZE_COPEPEDIA,https://www.st.nmfs.noaa.gov/copepedia/taxa/T4000095/html/biometricframe.html
Not_Staged,Not_Staged,Temora turbinata,log10(DW_ug) = 3.341 * log10(PL_um) - 8.51,3.341,-8.51,PL,DW,Chisholm_Roff_1990,10.1007/BF02114676,Jamaica,NA,NA
Not_Staged,Not_Staged,Temoropia mayumbaensis,log10(C_ug) = 2.512 * log10(PL_um) - 6.76,2.512,-6.76,PL,C,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,North Pacific,NA,Eqn. for Copepods
Not_Staged,Not_Staged,Thaliacea ,log10(C_ug) = 1.93 * log10(OGL_um) - 5.58,1.93,-5.58,TL,C,Heron_et_al_1988,URL:jstor.org/stable/24827393,Australia,NA,Oral-Gut Length (OGL);Measurement B of Foxton (1966)
Not_Staged,Not_Staged,Thaliacea ,log10(DW_ug) = 3.66 * log10(L_um) - 11.72,3.66,-11.72,TL,DW,Nakamura_et_al_2017,10.6620/ZS.2017.56-13,Pacific,Aono_1999,Eqn. for Salpa aspera
Not_Staged,Not_Staged,Thecosomata,log10(C_ug) = 3.102 * log10(SL_um) - 7.837,3.102,-7.837,SL,C,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,North Pacific;Laboratory,NA,Eqn. for Thecosomes;shell length;Limacina retroversa
Not_Staged,Not_Staged,Thecosomata,log10(DW_ug) = 1.501 * log10(SL_um) - 2.37,1.501,-2.37,SL,DW,Bednarsek_et_al_2012b,10.1016/j.dsr2.2011.08.003,Scotia Sea Southern Ocean,McGinty_et_al_2023;Bednarsek_et_al_2012a;Lavaniegos_Ohman_2007,Eqn. for Limacina helicina;Data Sheet 1 Supp. Table 1;Original DW = 0.1365*TL^1.501;log10(DW_ug) = 2.659 * log10(SL_um) - 7.562 Lavaniegos_Ohman_2007 for shell
Not_Staged,Not_Staged,Thecosomata,log10(WW_ug) = 2.293 * log10(SL_um) - 4.546,2.293,-4.546,SL,WW,Davis_Wiebe_1985,10.1029/JC090iC05p08871,Northeast U.S. Shelf;Southern New England;near NESLTER line,Bednarsek_et_al_2012a;Wiebe_et_al_1985,shelled pteropoda
Not_Staged,Not_Staged,Thysanoessa gregaria,log10(DW_ug) = 2.871 * log10(TL_um) - 8.233,2.871,-8.233,TL,DW,Lindley_et_al_1999,10.1093/plankt/21.11.2053,North Atlantic ,McGinty_et_al_2023,same as adult;Eqn. for Thysanoessa longicaudata adult females;L from the tip of the rostrum to the tip of the telson excluding terminal spines;Data Sheet 1 Supp.Table 1
Not_Staged,Not_Staged,Thysanoessa longicaudata,log10(DW_ug) = 2.871 * log10(TL_um) - 8.233,2.871,-8.233,TL,DW,Lindley_et_al_1999,10.1093/plankt/21.11.2053,North Atlantic ,NA,same as adult;Adult females;L from the tip of the rostrum to the tip of the telson excluding terminal spines
Not_Staged,Not_Staged,Thysanoessa raschii,log10(C_ug) = 3.549 * log10(TL_um) - 11.530,3.549,-11.53,TL,C,Agersted_Nielsen_2014,10.1093/plankt/fbt139,Greenland,NA,same as adult;length measured from tip of rostrum to end of telson
Not_Staged,Not_Staged,Tomopteris,log10(C_ug) = 1.3848 * log10(TL_um) - 3.2793,1.3848,-3.2793,TL,C,Lavaniegos_Ohman_2007,10.1016/j.pocean.2007.07.002,Norway;California,Hirota_1986,Estimated from data of Tomopteris planctonis and T. helgolandica predicted by DW-L regressions;log10(C_ug) = 2.10 * log10(L_um) - 5.9706 in Hirota 1986
Not_Staged,Not_Staged,Tortanus discaudatus,log10(C_ug) = 2.61 * log10(PL_um) - 6.80,2.6,-6.8,PL,C,Uye_1982,10.1007/BF02110286,Japan,ICES_WGZE_COPEPEDIA,Eqn. for Tortanus forcipatus;spp. not present in NES;https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4003232/html/biometricframe.html
Not_Staged,Not_Staged,Tortanus discaudatus,log10(DW_ug) = 2.50 * log10(PL_um) - 6.11,2.5,-6.11,PL,DW,Uye_1982,10.1007/BF02110286,Japan,ICES_WGZE_COPEPEDIA,Eqn. for Tortanus forcipatus;spp. not present in NES;https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4003232/html/biometricframe.html
Not_Staged,Not_Staged,Undinula vulgaris,log10(DW_ug) = 3.65 * log10(PL_um) - 9.94,3.65,-9.94,PL,DW,Chisholm_Roff_1990,10.1007/BF02114676,Jamaica,NA,NA
