stage_code,stage,taxa_name,lit_weight_ug,lit_weight_type,weight_source_primary,weight_doi,weight_location,weight_source_secondary,weight_notes
Not_Staged,Not_Staged,Salpidae,26000,DW,Luskow_et_al_2024,10.1093/plankt/fbad053,Northeast Atlantic;Pacific,Heron_et_al_1988,460 ug in Heron et al 1988
Not_Staged,Not_Staged,Salpidae,9440800,WW,Gleiber_et_al_2022,10.5683/SP3/0YFJED,NA,NA,For Pegea spp.;probably too high
Not_Staged,Not_Staged,Scolecitrichidae,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Scolecitrichidae,140,DW,Piontkovski_2008,10.1594/PANGAEA.691347,Caribbean Sea,ICES_WGZE_COPEPEDIA;Assmy_et_al_2023,198 in ICES WGZE
Not_Staged,Not_Staged,Siphonophora,4.68,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Siphonophora,917,DW,Piontkovski_Melnik_2008,10.1594/PANGAEA.691590,Indian Ocean,Assmy_et_al_2023,NA
Not_Staged,Not_Staged,Spinocalanidae,80,DW,Piontkovski_Shmeleva_2008,10.1594/PANGAEA.691361,South Atlantic,Piontkovski_Kovalev_2008;Piontkovski_2008,average of a couple of their cruises for Spinocalanus spp. female;29 average of CV and adult male and females;52 average S. abyssalis
Not_Staged,Not_Staged,Spinocalanus,11,DW,Mizdalski_1988,"CIT:Mizdalski, E. 1988. Weight and length data of zooplankton in the Weddell in austral spring 1986 (ANT V/3).",Weddell Sea,NA,female CVI
Not_Staged,Not_Staged,Spinocalanus,15.5,WW,Mizdalski_1988,"CIT:Mizdalski, E. 1988. Weight and length data of zooplankton in the Weddell in austral spring 1986 (ANT V/3).",Weddell Sea,NA,female CVI
Not_Staged,Not_Staged,Spiratella,300,DW,Bednarsek_et_al_2012,10.1016/j.dsr2.2011.08.003,Scotia Sea,NA,NA
Not_Staged,Not_Staged,Temora,5.67,C,Cabrol_et_al_2020,10.1093/PLANKT/FBAA012,Arctic,NA,for Temoridae
Not_Staged,Not_Staged,Temora,20,DW,Skjoldal_Aarflot_2023,10.1093/plankt/fbad043,Barents Sea,Piontkovski_et_al_2008;Cabrol_et_al_2020;Assmy_et_al_2023,Piontkovski et al 2008 WW(?) 90ug
Not_Staged,Not_Staged,Temora longicornis,12.14,C,Corona_et_al_2021,10.1002/lno.11930,Northeast Atlantic;near Plymouth,Barton_et_al_2020;KleinBreteler_et_al_1982;Banas_Campbell_2016,same as adult;adult females;4.99 in Barton et al 2020
Not_Staged,Not_Staged,Temora longicornis,27.6,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Skjoldal_Aarflot_2023;Gillooly_2000;Assmy_et_al_2023;Martynova_et_al_2009;Pitois_Fox_2006,same as adult;37.21 ug DW Gillooly 2000;12.6 in Pitois
Not_Staged,Not_Staged,Temora stylifera,12.4,C,Halsband-Lenk_2002,"CIT:Halsband-Lenk, C. 2002. Temperature impact on reproduction and development of congener marine copepods – a key to distribution patterns? Universität Oldenburg.",Villefranche Bay;Mediterranean Sea,Huntley_Lopez_1992,average for females in autumn 1998
Not_Staged,Not_Staged,Temora stylifera,122,DW,Piontkovski_2008,10.1594/PANGAEA.691347,Caribbean Sea,ICES_WGZE_COPEPEDIA;Brun_et_al_2017;Hopcroft_Roff_198;Huntley_Lopez_1992;Razouls_Razouls_1976,30ug  in Brun/ICES;41 in Hopcroft; 47.6 in Razouls
Not_Staged,Not_Staged,Temora turbinata,2,C,ICES_WGZE_COPEPEDIA,CIT:ICES WGZE. 2021. WGZE Biometrics Atlas for the ICES North Atlantic region. WGZE Biometrics Atlas.,NA,Uye_1982;Almeda_et_al_2016,9.95 in Uye
Not_Staged,Not_Staged,Temora turbinata,8.6,DW,Hebert_et_al_2016,10.1890/15-1275.1,NA,ICES_WGZE_COPEPEDIA;Ara_2001;Chisholm_Roff_1990;Hopcroft_Roff_1998;Piontkovski_2008;Uye_1982,24 in Uye
Not_Staged,Not_Staged,Temoropia mayumbaensis,NA,C,NA,NA ,NA,NA,NA
Not_Staged,Not_Staged,Temoropia mayumbaensis,NA,DW,NA,NA ,NA,NA,NA
Not_Staged,Not_Staged,Thaliacea,148,C,Steinberg_unpub,NA,Northeast U.S. Shelf,NA,Salps solitary stage;aggregate stage 103 ug C
Not_Staged,Not_Staged,Thaliacea,NA,DW,NA,NA ,NA,NA,NA
Not_Staged,Not_Staged,Thecosomata,0.46,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,for Limacina retroversa;10-70 for other nonNES taxa in Kiorboe
Not_Staged,Not_Staged,Thecosomata,NA,DW,NA,NA ,NA,NA,NA
Not_Staged,Not_Staged,Thysanoessa gregaria,NA,C,NA,NA,NA,NA,same as adult
Not_Staged,Not_Staged,Thysanoessa gregaria,NA,DW,NA,NA,NA,NA,same as adult
Not_Staged,Not_Staged,Thysanoessa longicaudata,NA,C,NA,NA,NA,NA,same as adult
Not_Staged,Not_Staged,Thysanoessa longicaudata,447.38,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Assmy_et_al_2023,same as adult;2300 in Assmy
Not_Staged,Not_Staged,Thysanoessa raschii,NA,C,NA,NA,NA,NA,same as adult
Not_Staged,Not_Staged,Thysanoessa raschii,687.369,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Smith_1991,same as adult;20000
Not_Staged,Not_Staged,Tomopteris,490,DW,Piontkovski_Kovalev_2008,10.1594/PANGAEA.693631,Mediterranean Sea,NA,NA
Not_Staged,Not_Staged,Tortanus discaudatus,18,C,ICES_WGZE_COPEPEDIA,CIT:ICES WGZE. 2021. WGZE Biometrics Atlas for the ICES North Atlantic region. WGZE Biometrics Atlas.,NA,NA,adult
Not_Staged,Not_Staged,Tortanus discaudatus,30,DW,Phillips_1976,"CIT:Phillips, D. 1976. THE BIOLOGY OF THE PREDATORY CALANOID COPEPOD TORTANUS DISCAUDATUS (THOMPSON AND SCOTT) IN A NEW HAMPSHIRE ESTUARY. Doctoral Dissertations.",New Hampshire,ICES_WGZE_COPEPEDIA,48 in ICES WGZE
Not_Staged,Not_Staged,Undinula vulgaris,85,C,Brun_et_al_2017,10.5194/essd-9-99-2017,NA,ICES_WGZE_COPEPEDIA,NA
Not_Staged,Not_Staged,Undinula vulgaris,150,DW,Hebert_et_al_2016,10.1890/15-1275.1,NA,ICES_WGZE_COPEPEDIA;Chisholm_Roff_1990;Hopcroft_Roff_1998,6-92 in Chisholm_Roff_1990;124 in Hopcroft_Roff_1998;168 ug in ICES WGZE;https://www.st.nmfs.noaa.gov/copepedia/taxa/T4000056/html/biometricframe.html
