stage_code,stage,taxa_name,lit_weight_ug,lit_weight_type,weight_source_primary,weight_doi,weight_location,weight_source_secondary,weight_notes
ZOO_STAGE_021,CII,Metridia lucens,3,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,NA,NA
ZOO_STAGE_021,CII,Temora longicornis,1.25,C,Martynova_et_al_2009,https://doi.org/10.1007/s00300-008-0513-1,White Sea,NA,NA
ZOO_STAGE_021,CII,Temora longicornis,2.17,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Martynova_et_al_2009,NA
ZOO_STAGE_020,CI,Calanus finmarchicus,1.88,C,Davis_1984,10.1007/BF00392761,Northeast U.S. Shelf;Georges Bank,NA,NA
ZOO_STAGE_020,CI,Calanus finmarchicus,3.1,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Skojdal_Aarflot 2023;Assmy_et_al_2023;Cornils_et_al_2022;Gluchowska_et_al_2017,1.5;5.1
ZOO_STAGE_020,CI,Clausocalanus arcuicornis,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_020,CI,Clausocalanus arcuicornis,10.6,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,NA,not staged;Clausocalanus spp.
ZOO_STAGE_020,CI,Metridia lucens,NA,C,NA,NA,NA,NA,NA
ZOO_STAGE_020,CI,Metridia lucens,0.8,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,NA,NA
ZOO_STAGE_029,Furcilia,Euphausia krohnii,134,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Teglhus_et_al_2015,euphausiid furcilia
ZOO_STAGE_029,Furcilia,Euphausia krohnii,660,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,Kongsfjorden ,NA,based on Euphausiacea indet. Furcilia
ZOO_STAGE_029,Furcilia,Thysanoessa gregaria,134,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Teglhus_et_al_2015,euphausiid furcilia
ZOO_STAGE_029,Furcilia,Thysanoessa gregaria,661.4,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,Kongsfjorden ,Kwasniewski_et_al_2010;Ormanczyk_et_al_2017,based on Euphausiacea indet. Furcilia;Table S1
ZOO_STAGE_029,Furcilia,Thysanoessa longicaudata,134,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Teglhus_et_al_2015,euphausiid furcilia
ZOO_STAGE_029,Furcilia,Thysanoessa longicaudata,660,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,Kongsfjorden ,NA,based on Euphausiacea indet. Furcilia
ZOO_STAGE_029,Furcilia,Thysanoessa raschii,134,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Teglhus_et_al_2015,euphausiid furcilia
ZOO_STAGE_029,Furcilia,Thysanoessa raschii,8000,DW,Smith_1991,10.3402/polar.v10i2.6759,Bering Sea,NA,not sure about this one;based on adolescent females
ZOO_STAGE_028,Calyptopis,Euphausia krohnii,31.3,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Teglhus_et_al_2015,euphausiid calyptopis
ZOO_STAGE_028,Calyptopis,Euphausia krohnii,94.8,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,Kongsfjorden ,NA,based on Euphausiacea indet. Calyptopis
ZOO_STAGE_028,Calyptopis,Thysanoessa gregaria,31.3,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Teglhus_et_al_2015,euphausiid calyptopis
ZOO_STAGE_028,Calyptopis,Thysanoessa gregaria,94.8,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,Kongsfjorden ,NA,based on Euphausiacea indet. Calyptopis
ZOO_STAGE_028,Calyptopis,Thysanoessa longicaudata,31.3,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Teglhus_et_al_2015,euphausiid calyptopis
ZOO_STAGE_028,Calyptopis,Thysanoessa longicaudata,94.8,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,Kongsfjorden ,NA,based on Euphausiacea indet. Calyptopis
ZOO_STAGE_028,Calyptopis,Thysanoessa raschii,31.3,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Teglhus_et_al_2015,euphausiid calyptopis
ZOO_STAGE_028,Calyptopis,Thysanoessa raschii,94.8,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,Kongsfjorden ,Smith_1991,9-11 ug DW for CIII in Smith_1991
ZOO_STAGE_013,Nauplius,Euphausia krohnii,3.5,C,Teglhus_et_al_2015,10.3354/meps11486,Greenland,NA,NA
ZOO_STAGE_013,Nauplius,Euphausia krohnii,4,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,NA,NA,based on Euphausiacea indet. nauplius
ZOO_STAGE_013,Nauplius,Thysanoessa gregaria,3.5,C,Teglhus_et_al_2015,10.3354/meps11486,Greenland,NA,NA
ZOO_STAGE_013,Nauplius,Thysanoessa gregaria,4,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,NA,NA,based on Euphausiacea indet. nauplius
ZOO_STAGE_013,Nauplius,Thysanoessa longicaudata,3.5,C,Teglhus_et_al_2015,10.3354/meps11486,Greenland,NA,NA
ZOO_STAGE_013,Nauplius,Thysanoessa longicaudata,4,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,NA,NA,based on Euphausiacea indet. nauplius
ZOO_STAGE_013,Nauplius,Thysanoessa raschii,3.5,C,Teglhus_et_al_2015,10.3354/meps11486,Greenland,NA,NA
ZOO_STAGE_013,Nauplius,Thysanoessa raschii,3.988,DW,Smith_1991,10.3402/polar.v10i2.6759,Bering Sea,NA,NA
Not_Staged,Not_Staged,Acartia,3,C,Brun_et_al_2017,10.5194/essd-9-99-2017,NA,ICES_WGZE_COPEPEDIA;Cabrol_et_al_2020;Barton_et_al_2020,5.59 in Cabrol
Not_Staged,Not_Staged,Acartia,8.2,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,Skjoldal_Aarflot_2023;Assmy_et_al_2023;Cabrol_et_al_2020;Durbin_Durbin_1978;Chisholm_Roff_1990,10 ug in Skjoldal;16.3 ug CV-CVI in Cabrol
Not_Staged,Not_Staged,Acartia danae,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Acartia danae,13,DW,Piontkovski_et_al_2008,10.1594/PANGAEA.693634,Mediterranean Sea,NA,NA
Not_Staged,Not_Staged,Acartia longiremis,3.9,C,Brun_et_al_2017,10.5194/essd-9-99-2017,NA,ICES_WGZE_COPEPEDIA,NA
Not_Staged,Not_Staged,Acartia longiremis,7.45,DW,ICES_WGZE_COPEPEDIA,URL:https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000163/html/biometricframe.html,NA,Assmy_et_al_2023;Brun_et_al_2017,4.6 ug DW in Assmy
Not_Staged,Not_Staged,Acartia tonsa,1.2,C,LaRosa-Izquierdo_et_al_2025,10.3856/vol53-issue3-fulltext-3354,tropical Central Pacific,Almeda_et_al_2016;Banas_Campbell_2016;Berggreen_et_al_1988,NA
Not_Staged,Not_Staged,Acartia tonsa,5.72,DW,Gillooly_2000,10.1093/plankt/22.2.241,NA,Huntely_Llopez_1992;Muxagata_2005;Hopcroft_Roff_1998,9.96 in Muxagata
Not_Staged,Not_Staged,Acrocalanus longicornis,0.5,C,Hirst_Sheader_1997,URL:jstor.org/stable/24857851,NA,NA,A. inermis 
Not_Staged,Not_Staged,Acrocalanus longicornis,48,DW,Piontkovski_Melnik_2008,10.1594/PANGAEA.691590,Indian Ocean,NA,NA
Not_Staged,Not_Staged,Aetideidae,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Aetideidae,150,DW,Koguchi_et_al_2022,10.3389/fmars.2022.943100,western Arctic Ocean,Assmy_et_al_2023;ICES_WGZE_COPEPEDIA,30-635 in Assmy;30-1000 in https://www.st.nmfs.noaa.gov/copepedia/taxa/T4000856/html/biometricframe.html
Not_Staged,Not_Staged,Alteutha depressa,5.56,C,Swadling_et_al_1997,10.1007/s002270050066,eastern Antarctic,NA,CIII-CV;same as Harpacticoida
Not_Staged,Not_Staged,Alteutha depressa,6.946,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,Assmy_et_al_2023;Hopcroft_Roff_1998,same as Harpacticoida
Not_Staged,Not_Staged,Amphipoda,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Amphipoda,63.663,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,NA,NA
Not_Staged,Not_Staged,Anomura,600,C,Anger_1996,10.1007/BF00347453,NA,NA,NA
Not_Staged,Not_Staged,Anomura,1400,DW,Anger_1996,10.1007/BF00347453,NA,Balazy_et_al_2015,Lithodes maja;WW 0.4-4 g for Pagurus bernhardus in Balazy et al 2015
Not_Staged,Not_Staged,Appendicularia,4.28,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Appendicularia,5.4,DW,Gorsky_et_al_1987,10.1007/BF00392931,NA,Assmy_et_al_2023,1-2190 in Assmy;ASDW 3.30 ug
Not_Staged,Not_Staged,Augaptilidae,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Augaptilidae,1000,DW,Piontkovski_2008,10.1594/PANGAEA.691344,Caribbean Sea,NA,NA
Not_Staged,Not_Staged,Balanidae,3.54,C,Cabrol_et_al_2020,10.1093/PLANKT/FBAA012,Arctic,Turner_et_al_2001;Uye_1982;Barton_et_al_2020,for Cypris larvae;Balanus nauplii 10.47 ug Turner et al 2001;1.02 in Uye
Not_Staged,Not_Staged,Balanidae,5,DW,Muxagata_2005,"CIT:Muxagata, E. 2005. Seasonal and spatial distribution of the mesozooplankton of Southampton Water with particular reference to the contribution of copepods and barnacle larvae to pelagic carbon flux. phd. University of Southampton.",Southampton Water,Uye_1982;Cabrol_et_al_2020;Holland_Walker_1975,Semibalanus balanoides;2 ug in Uye 1982; 11 for Cypris larvae in Cabrol et al. 2020;cypris larvae in Muxagata Appendix X 32-37;34-40 in Holland for B. balanoides cryprids
Not_Staged,Not_Staged,Bivalvia,2.17,C,Uye_1982,10.1007/BF02110286,Sea of Japan,McLaren_1969;Barton_et_al_2020;Fotel_et_al_1999,1.3 in McLaren 1969;0.45 in Barton_et_al_2020;0.5-1 in Fotel_et_al_1999
Not_Staged,Not_Staged,Bivalvia,12.3,DW,Uye_1982,10.1007/BF02110286,Sea of Japan,Assmy_et_al_2023;Sprung_1984,4 for veliger and 18 for juvenile in Assmy;0.5-2 ug for M. edulis larvae in Sprung;0.1-1.8 ug in Sprung
Not_Staged,Not_Staged,Brachiopoda,500,WW,Paine_1963,10.2307/1942626,Florida;Atlantic,NA,NA
Not_Staged,Not_Staged,Brachyura,184,C,Uye_1982,10.1007/BF02110286,Sea of Japan,Gimenez_Anger_2005,Brachyura zoea
Not_Staged,Not_Staged,Brachyura,539,DW,Uye_1982,10.1007/BF02110286,Sea of Japan,NA,Brachyura zoea
Not_Staged,Not_Staged,Calanidae,75,C,Hirst_Sheader_1997,URL:jstor.org/stable/24857851,NA,NA,NA
Not_Staged,Not_Staged,Calanoida,NA,C,NA,NA,NA,NA,2.23-129 in Cabrol_et_al_2020 for Calanus spp.
Not_Staged,Not_Staged,Calanoida,73.4,DW,Piontkovski_2008,10.1594/PANGAEA.691344,Caribbean Sea,Piontkovski_Melnik_2008;Piontkovski_Shmeleva_2008;Assmy_et_al_2023;Pitois_Fox_2006,4.5 in Assmy;13 for CI-CIV in Pitois
Not_Staged,Not_Staged,Calanoida nauplius,1.59,C,Cabrol_et_al_2020,doi:10.1093/plankt/fbaa012,North Atlantic;St. Lawrence Estuary,Swadling_et_al_1997;Barton_et_al_2020;Davis_1984;Turner_et_al_2001,0.26 in Swadling;0.72 in Barton;0.16-1.24 for C. finmarchicus in Davis_1984;4 in Turner
Not_Staged,Not_Staged,Calanoida nauplius,3.7,DW,Cabrol_et_al_2020,doi:10.1093/plankt/fbaa012,North Atlantic;St. Lawrence Estuary,Assmy_et_al_2023;Davis_1987;Muxagata_2005,0.3-2.4 NI-NVI 0.45 in Muxagata
Not_Staged,Not_Staged,Calanus,60,C,Jarvis_2003,10.21954/ou.ro.0000f704,Scotland;Clyde Sea,ICES_WGZE_COPEPEDIA;Cabrol_et_al_2020;Brun_et_al_2017,215 in Cabrol et al 2020 for CIV-CVI
Not_Staged,Not_Staged,Calanus,195,DW,Hebert_et_al_2016,10.1890/15-1275.1,NA,ICES_WGZE_COPEPEDIA;Cabrol_et_al_2020;Pitois_Fox_2006;Jarvis_2003,378.9 CIV-CVI in Cabrol et al. 2020 and 34 for CI-CIII;13 in Pitois for CI-CIV
Not_Staged,Not_Staged,Calanus finmarchicus,87.88,C,Steinberg_unpub,NA,Northeast U.S. Shelf,Swalethorp_et_al_2011;Brun_et_al_2017;ICES_WGZE_COPEPEDIA;Davis_1984,same as adult;109 C Swalethrop et al 2011;214 in ICES
Not_Staged,Not_Staged,Calanus finmarchicus,286.5,DW,Thompson_Runge_unpub,NA,Northeast U.S. Shelf,Pitois_Fox_2006;Cornils_et_al_2022;Skjoldal_Aarflot_2023;Gillooly_2000;Assmy_et_al_2023;Gluchowska_et_al_2017,same as adult
Not_Staged,Not_Staged,Calocalanus,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Calocalanus,5,DW,Piontkovski_2008,10.1594/PANGAEA.691344,Caribbean Sea,Piontkovski_Melnik_2008;Piontkovski_Shmeleva_2008;Zakaria_et_al_2018,NA
Not_Staged,Not_Staged,Calocalanus tenuis,2.9,C,Vassallo_et_al_2021,10.3390/d14010019,Ligurian Sea;Italy,NA,NA
Not_Staged,Not_Staged,Calocalanus tenuis,6.7,DW,FisheriesOceansCanada_2010,CIT:Fisheries and Oceans Canada Government of Canada. 2010. Line P Program zooplankton data (Cruise 2010-01). https://www.dfo-mpo.gc.ca/science/documents/data-donnees/line-p/donneeszoopdata/2010-01-zoop-linep.csv,Pacific Ocean;British Columbia,NA,female CVI
Not_Staged,Not_Staged,Candacia,20.91,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,ICES_WGZE_COPEPEDIA;Barton_et_al_2020,based on C. armata;123 for Candacia in Brun et al
Not_Staged,Not_Staged,Candacia,23.7,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,ICES_WGZE_COPEPEDIA;Piontkovski_et_al_2008,Candacia CI-CIV;Candacia armata 106 in Pitois and Fox 2006;80 in Piontkovski for Candaciidae average all stages
Not_Staged,Not_Staged,Candacia armata,20.91,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,ICES_WGZE_COPEPEDIA;Barton_et_al_2020,NA
Not_Staged,Not_Staged,Candacia armata,295,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,adult males
Not_Staged,Not_Staged,Caridea,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Caridea,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Centropages,6.9,C,Davis_1984,10.1007/BF00392761,Northeast U.S. Shelf;Georges Bank,Skjoldal_Aarflot_2023,CIV-CVI;20 ug Centropages spp cI-CVI Skjoldal_Aarflot_2023
Not_Staged,Not_Staged,Centropages,24,DW,Hebert_et_al_2016,10.1890/15-1275.1,NA,ICES_WGZE_COPEPEDIA;Skjoldal_Aarflot_2023,20ug for Centropages spp. CI-CVI in Skjoldal
Not_Staged,Not_Staged,Centropages bradyi,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Centropages bradyi,50,DW,NA,NA,NA,Piontkovski_et_al_2008,164 in Piontkovski_et_al_2008
Not_Staged,Not_Staged,Centropages furcatus,5.9,C,LaRosa-Izquierdo_et_al_2025,10.3856/vol53-issue3-fulltext-3354,tropical Central Pacific,NA,NA
Not_Staged,Not_Staged,Centropages furcatus,20,DW,Hebert_et_al_2016,10.1890/15-1275.1,NA,ICES_WGZE_COPEPEDIA;LaRosa-Izquierdo_et_al_2025,ICES WGZE; 32 in La Rosa-Izquierdo et al 2025
Not_Staged,Not_Staged,Centropages hamatus,5.91,C,Martynova_et_al_2009,doi.org/10.1007/s00300-008-0513-1,White Sea,Razouls_et_al_2005,same as adult
Not_Staged,Not_Staged,Centropages hamatus,9.58,DW,Martynova_et_al_2009,doi.org/10.1007/s00300-008-0513-1,White Sea,Pitois_Fox_2006;Gillooly_2000,same as adult;Adult females;14.7 in Pitois
Not_Staged,Not_Staged,Centropages typicus,11.9,C,Corona_et_al_2021,10.1002/lno.11930,Northeast Atlantic;near Plymouth,Steinberg_unpub;Saiz_et_al_1999,same as adult;adult females;20.34 ug from Deb.Steinberg NES;5 from Mediterranean Sea in Saiz_et_al_1999
Not_Staged,Not_Staged,Centropages typicus,38,DW,Bonnet_Carlotti_2001,10.3354/meps224133,Villefranche Bay;Mediterranean Sea,Pitois_Fox_2006;Bonnet_Carlotti_2001,same as adult;36 ug in Pitois
Not_Staged,Not_Staged,Chaetognatha,21.61,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Chaetognatha,48.399,DW,Hay_et_al_1991,10.1016/0278-4343(91)90021-W,North Sea,NA,NA
Not_Staged,Not_Staged,Clausocalanidae,1.69,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,Clausocalanus spp.
Not_Staged,Not_Staged,Clausocalanidae,17,DW,Piontkovski_2008,10.1594/PANGAEA.691344,Caribbean Sea,Pitois_Fox_2006,NA
Not_Staged,Not_Staged,Clausocalanus,1.69,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Clausocalanus,10.6,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,NA,NA
Not_Staged,Not_Staged,Clausocalanus arcuicornis,NA,C,NA,NA,NA,NA,same as adult
Not_Staged,Not_Staged,Clausocalanus arcuicornis,68,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,same as adult
Not_Staged,Not_Staged,Clausocalanus furcatus,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Clausocalanus furcatus,24,DW,Piontkovski_2008,10.1594/PANGAEA.691344,Caribbean Sea,Pitois_Fox_2006;;Hopcroft_Roff_1998,NA
Not_Staged,Not_Staged,Clytemnestra,8,DW,Piontkovski_2008,10.1594/PANGAEA.691344,Caribbean Sea,NA,NA
Not_Staged,Not_Staged,Cnidaria,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Cnidaria,4240,DW,Piontkovski_Melnik_2008,10.1594/PANGAEA.691344,Caribbean Sea,NA,NA
Not_Staged,Not_Staged,Copepoda,9.3,C,Hirst_Sheader_1997,URL:jstor.org/stable/24857851,NA,NA,mixed small copepods;Appendix 1 table with many values
Not_Staged,Not_Staged,Copepoda,20,DW,Uye_1982,10.1007/BF02110286,Sea of Japan,Pitois_Fox_2006;Assmy_et_al_2023;Uye_1982,small to medium calanoids;Table S1;2 ug in Uye
Not_Staged,Not_Staged,Corycaeidae,1.8,C,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Uye_1982,C. affinis
Not_Staged,Not_Staged,Corycaeidae,62,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,Hopcroft_Roff_1998,NA
Not_Staged,Not_Staged,Corycaeus,1.8,C,Kiorboe_2013,10.4319/lo.2013.58.5.1843,NA,Uye_1982,C. affinis
Not_Staged,Not_Staged,Corycaeus,62,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,ICES_WGZE_COPEPEDIA;Hebert_et_al_2016,29 in Hebert 
Not_Staged,Not_Staged,Creseis,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Creseis,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Ctenocalanus,1.58,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,same as Ctenocalanus vanus
Not_Staged,Not_Staged,Ctenocalanus,47,DW,Piontkovski_et_al_2008,10.1594/PANGAEA.693657,Mediterranean Sea,NA,same as Ctenocalanus vanus
Not_Staged,Not_Staged,Ctenocalanus vanus,1.58,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Ctenocalanus vanus,47,DW,Piontkovski_et_al_2008,10.1594/PANGAEA.693657,Mediterranean Sea,NA,average of CI through adults
Not_Staged,Not_Staged,Ctenocalanus vanus,55,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965,Dry weight can be obtained by multiplying the wet weight by 0.20;saw some values go up to 95
Not_Staged,Not_Staged,Cumacea,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Cumacea,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Cyclopoida,7.5,C,ICES_WGZE_COPEPEDIA,CIT:ICES WGZE. 2021. WGZE Biometrics Atlas for the ICES North Atlantic region. WGZE Biometrics Atlas.,NA,NA,NA
Not_Staged,Not_Staged,Cyclopoida,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Decapoda,30.72,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Decapoda,77,DW,Dawirs_1980,10.1007/BF00420963,North Sea,NA,Pagurus bernhardus
Not_Staged,Not_Staged,Echinodermata,0.16,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Echinodermata,1,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,NA,NA,NA
Not_Staged,Not_Staged,Ectoprocta,0.97,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,based on Bryozoa cyphonautes larvae
Not_Staged,Not_Staged,Ectoprocta,1,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,NA,NA,based on Bryozoa cyphonautes larvae
Not_Staged,Not_Staged,Eucalanidae,25,C,Mauchline_1998,10.1016/S0065-2881(08)60239-4,NA,ICES_WGZE_COPEPEDIA;Brun_et_al_2017;Huntley_Lopez_1992;Jimenez-Perez_Lavaniegos_2004;Kiorboe_2013,same as Eucalanus
Not_Staged,Not_Staged,Eucalanidae,305,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,ICES_WGZE_COPEPEDIA;Huntley_Lopez_1992;LaRosa-Izquierdo_et_al_2025;Piontkovski_et_al_2008;Piontkovski_Melnik_2008;Ueda_et_al_2008;Flint_et_al_1991,same as Eucalanus
Not_Staged,Not_Staged,Eucalanidae,3000,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965;Ozaki_et_al_2001,Eucalanus hyalinus;3000-7000 for E. bungii CV-CVI
Not_Staged,Not_Staged,Eucalanus,25,C,Mauchline_1998,10.1016/S0065-2881(08)60239-4,NA,ICES_WGZE_COPEPEDIA;Brun_et_al_2017;Huntley_Lopez_1992;Jimenez-Perez_Lavaniegos_2004;Kiorboe_2013,0.5-25 in Mauchline_1998 CH6 E. pileatus NIII-CII;0.204 C ug in Huntley Lopez 1992 for E. bungi but all their values seem low not sure if their units are correct;about 430 ug C for E. bungii in Brun_et_al_2017 ICES COPEPODIA
Not_Staged,Not_Staged,Eucalanus,305,DW,Pitois_Fox_2006,10.1016/j.icesjms.2006.03.009,Northeast Atlantic,ICES_WGZE_COPEPEDIA;Huntley_Lopez_1992;LaRosa-Izquierdo_et_al_2025;Piontkovski_et_al_2008;Piontkovski_Melnik_2008;Ueda_et_al_2008;Flint_et_al_1991,W for E. crassus in Pitois;0.510 ug in Huntley_Lopez_1992 for E. bungi but all their values seem low not sure if their units are correct It makes more sense if their vals are actually mg;80-428 ug in La Rosa-Izquierdo et al 2025 for E. inermis;4000 in Piontkovski_et_al_2008 for E. elongatus (WW?);396 Eucalanus spp Piontkovski_Melnik_2008 Indian ocean average CIV-CV and adults;59 Eucalanidae copepodites Piontkovski_et_al_2008 Mediterranean;200-535 E. bungii in Ueda_et_al_2008;4000 WW for E. elongatus in Flint_et_al_1991
Not_Staged,Not_Staged,Eucalanus,3000,WW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,Mediterranean Sea,Shmeleva_1965;Ozaki_et_al_2001,Eucalanus hyalinus;3000-7000 for E. bungii CV-CVI
Not_Staged,Not_Staged,Euchaetidae,100,C,Brun_et_al_2017,10.5194/essd-9-99-2017,NA,ICES_WGZE_COPEPEDIA;Cabrol_et_al_2020,368 in Cabrol et al 2020 for P. norvegica
Not_Staged,Not_Staged,Euchaetidae,590,DW,ICES_WGZE_COPEPEDIA,CIT:ICES WGZE. 2021. WGZE Biometrics Atlas for the ICES North Atlantic region. WGZE Biometrics Atlas.,NA,Pitois_Fox_2006;Webber_Roff_1995;Skjoldal_Aarflot_2023;Razouls_et_al_2005;Cabrol_et_al_2020;Assmy_et_al_2023;Hopcroft_Roff_1998,237 for E. acuta 2841 for E. norvegica 79.8 for E. hebes in Pitois;52 CI-CIII and 830 CVI-CV;52-3000 in Skjoldal_Aarflot_2023;2000 in Razouls for P. norvegica;783 in Cabrol for P. norvegica
Not_Staged,Not_Staged,Euphausia krohnii,NA,C,NA,NA,NA,NA,same as adult
Not_Staged,Not_Staged,Euphausia krohnii,5000,DW,NA,NA,NA,NA,same as adult;Fowler et al 1971 report 2-7 mg but this seems high
Not_Staged,Not_Staged,Euphausiacea,910,C,Steinberg_unpub,NA,Northeast U.S. Shelf,NA,NA
Not_Staged,Not_Staged,Euphausiacea,2220,DW,Steinberg_unpub,NA,NA,NA,NA
Not_Staged,Not_Staged,Eurytemora,2.5,DW,Razouls_et_al_2005,URL:https://copepodes.obs-banyuls.fr/en/index.php,NA,NA,Eurytemora affinis
Not_Staged,Not_Staged,Evadne,3.43,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,Vassallo _et_al_2021,1.7ug C in Vassallo _et_al_2021
Not_Staged,Not_Staged,Evadne,7,DW,Skjoldal_Aarflot_2023,10.1093/plankt/fbad043,Barents Sea,Pitois_Fox_2006;Walve_Larsson_1999;Assmy_et_al_2023;Hay_et_al_1991,1.7 in Walve_Larsson_1999;1.8 in Pitois_Fox_2006;2.5 in Hay_et_al_1991
Not_Staged,Not_Staged,Evadne,50,WW,Hernroth_1985,"CIT:Hernroth, L., ed. 1985. Recommendations on Methods for Marine Biological Studies in the Baltic Sea: Mesozooplankton Biomass Assessment. Recommendations 10. 10 Baltic Marine Biologists Working Group 14.",Baltic Sea,NA,Evadne nordmanni
Not_Staged,Not_Staged,Foraminifera,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Foraminifera,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Gammaridae,195.75,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,NA
Not_Staged,Not_Staged,Gammaridae,NA,DW,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Gammaridea,NA,C,NA,NA,NA,NA,NA
Not_Staged,Not_Staged,Gammaridea,50000,WW,Weslawski_et_al_2020,10.1002/ece3.6780,Arctic,NA,NA
Not_Staged,Not_Staged,Gastropoda,0.46,C,Barton_et_al_2020,10.3354/meps13432,Western English Channel,NA,this seems low
Not_Staged,Not_Staged,Gastropoda,1730,DW,Assmy_et_al_2023,10.1016/j.pocean.2023.102996,NA,NA,value for 0-5mm juveline;6 for Gastropoda indet. Veliger
